N,log_2(N),Sorted,Balanced,Scrambled #0,Scrambled #1,Scrambled #2,Scrambled #3,Scrambled #4
1,0.000,1,1,1,1,1,1,1
2,1.000,2,2,2,2,2,2,2
3,1.585,3,2,3,3,2,3,2
4,2.000,4,3,3,3,3,3,3
5,2.322,5,3,3,4,3,3,4
6,2.585,6,3,3,4,3,3,4
7,2.807,7,3,4,4,4,3,5
8,3.000,8,4,5,4,4,4,6
9,3.170,9,4,6,5,4,4,7
10,3.322,10,4,6,5,4,5,8
11,3.459,11,4,7,6,4,6,8
12,3.585,12,4,7,6,4,6,9
13,3.700,13,4,7,6,5,6,9
14,3.807,14,4,7,6,5,6,9
15,3.907,15,4,7,7,5,6,9
16,4.000,16,5,7,7,6,7,9
17,4.087,17,5,7,7,6,7,9
18,4.170,18,5,7,7,6,7,9
19,4.248,19,5,8,8,6,7,9
20,4.322,20,5,8,8,6,7,9
21,4.392,21,5,8,8,6,8,10
22,4.459,22,5,8,8,6,8,10
23,4.524,23,5,8,8,7,8,10
24,4.585,24,5,9,8,8,8,10
25,4.644,25,5,9,8,8,9,10
26,4.700,26,5,9,8,8,9,10
27,4.755,27,5,9,8,8,9,10
28,4.807,28,5,9,8,8,9,10
29,4.858,29,5,9,9,8,9,10
30,4.907,30,5,10,9,8,9,10
31,4.954,31,5,10,9,8,9,10
32,5.000,32,6,10,9,8,9,10
33,5.044,33,6,10,9,8,9,10
34,5.087,34,6,10,9,8,9,11
35,5.129,35,6,10,9,9,9,11
36,5.170,36,6,10,9,9,10,11
37,5.209,37,6,11,9,9,10,11
38,5.248,38,6,11,9,9,10,11
39,5.285,39,6,12,9,9,10,11
40,5.322,40,6,12,9,9,10,11
41,5.358,41,6,12,9,9,10,11
42,5.392,42,6,12,9,9,10,11
43,5.426,43,6,12,9,9,10,11
44,5.459,44,6,12,9,9,10,11
45,5.492,45,6,12,9,9,10,11
46,5.524,46,6,12,10,9,11,11
47,5.555,47,6,12,10,9,11,11
48,5.585,48,6,12,10,9,11,11
49,5.615,49,6,13,10,9,11,11
50,5.644,50,6,13,10,9,11,11
51,5.672,51,6,13,11,9,11,12
52,5.700,52,6,13,11,10,11,12
53,5.728,53,6,13,11,10,11,12
54,5.755,54,6,13,11,10,11,12
55,5.781,55,6,13,11,11,11,12
56,5.807,56,6,13,11,11,11,12
57,5.833,57,6,13,12,11,12,12
58,5.858,58,6,13,13,12,12,12
59,5.883,59,6,13,13,12,12,12
60,5.907,60,6,13,13,12,12,12
61,5.931,61,6,13,13,12,12,12
62,5.954,62,6,13,13,12,12,12
63,5.977,63,6,13,13,12,12,12
64,6.000,64,7,13,13,13,12,12
65,6.022,65,7,13,13,13,12,12
66,6.044,66,7,14,13,13,12,12
67,6.066,67,7,14,13,13,12,12
68,6.087,68,7,14,13,13,12,12
69,6.109,69,7,14,13,13,12,12
70,6.129,70,7,14,13,13,12,12
71,6.150,71,7,14,13,13,12,12
72,6.170,72,7,14,13,13,12,13
73,6.190,73,7,14,13,13,12,13
74,6.209,74,7,14,13,13,12,13
75,6.229,75,7,14,13,13,12,13
76,6.248,76,7,14,13,13,12,13
77,6.267,77,7,14,13,13,12,13
78,6.285,78,7,14,13,13,12,13
79,6.304,79,7,14,13,13,12,13
80,6.322,80,7,14,13,13,12,14
81,6.340,81,7,14,13,13,12,14
82,6.358,82,7,14,13,13,12,14
83,6.375,83,7,14,13,13,12,14
84,6.392,84,7,14,14,13,12,14
85,6.409,85,7,14,14,13,12,14
86,6.426,86,7,14,14,13,12,14
87,6.443,87,7,14,14,13,12,14
88,6.459,88,7,14,14,13,12,14
89,6.476,89,7,14,14,13,13,14
90,6.492,90,7,14,14,13,13,14
91,6.508,91,7,15,14,13,13,14
92,6.524,92,7,15,14,13,13,14
93,6.539,93,7,15,14,14,13,14
94,6.555,94,7,15,14,14,13,14
95,6.570,95,7,15,14,14,13,14
96,6.585,96,7,15,14,14,13,14
97,6.600,97,7,15,14,14,13,14
98,6.615,98,7,15,14,14,13,14
99,6.629,99,7,15,14,14,13,14
100,6.644,100,7,15,14,14,13,14
101,6.658,101,7,15,14,14,13,14
102,6.672,102,7,15,14,14,13,14
103,6.687,103,7,15,14,14,13,14
104,6.700,104,7,15,14,14,13,14
105,6.714,105,7,15,14,14,13,14
106,6.728,106,7,15,15,14,13,14
107,6.741,107,7,15,15,14,13,14
108,6.755,108,7,15,15,14,13,14
109,6.768,109,7,15,15,14,13,14
110,6.781,110,7,15,15,14,14,14
111,6.794,111,7,15,15,14,14,14
112,6.807,112,7,15,15,14,14,15
113,6.820,113,7,15,15,14,14,15
114,6.833,114,7,15,15,14,14,15
115,6.845,115,7,15,15,14,14,15
116,6.858,116,7,15,15,14,14,15
117,6.870,117,7,15,15,14,14,15
118,6.883,118,7,15,15,14,14,15
119,6.895,119,7,15,15,14,14,15
120,6.907,120,7,15,15,14,14,15
121,6.919,121,7,15,15,14,14,15
122,6.931,122,7,15,15,14,14,15
123,6.943,123,7,15,15,14,14,15
124,6.954,124,7,15,15,14,15,15
125,6.966,125,7,15,15,14,15,15
126,6.977,126,7,15,15,14,15,15
127,6.989,127,7,15,15,14,15,15
128,7.000,128,8,15,15,14,15,15
129,7.011,129,8,15,15,14,15,15
130,7.022,130,8,15,15,14,15,15
131,7.033,131,8,15,15,14,15,15
132,7.044,132,8,15,15,14,15,15
133,7.055,133,8,15,15,14,15,15
134,7.066,134,8,15,15,14,15,15
135,7.077,135,8,15,15,14,15,15
136,7.087,136,8,15,15,14,15,15
137,7.098,137,8,15,15,14,15,15
138,7.109,138,8,15,15,14,15,15
139,7.119,139,8,15,15,14,15,15
140,7.129,140,8,15,15,14,15,15
141,7.140,141,8,15,15,14,15,15
142,7.150,142,8,15,15,14,15,15
143,7.160,143,8,15,15,14,15,15
144,7.170,144,8,15,15,14,15,15
145,7.180,145,8,15,15,14,15,15
146,7.190,146,8,15,15,14,15,15
147,7.200,147,8,15,15,14,15,15
148,7.209,148,8,15,15,14,15,15
149,7.219,149,8,15,15,14,15,15
150,7.229,150,8,15,15,14,15,15
151,7.238,151,8,15,15,14,15,15
152,7.248,152,8,15,15,14,15,16
153,7.257,153,8,15,15,14,15,16
154,7.267,154,8,15,16,14,15,16
155,7.276,155,8,15,16,15,15,16
156,7.285,156,8,15,16,15,15,16
157,7.295,157,8,15,16,15,15,16
158,7.304,158,8,15,16,15,15,16
159,7.313,159,8,15,16,15,15,16
160,7.322,160,8,15,16,15,15,16
161,7.331,161,8,15,16,15,15,16
162,7.340,162,8,15,16,15,15,16
163,7.349,163,8,16,16,15,15,16
164,7.358,164,8,16,16,15,15,16
165,7.366,165,8,16,16,15,15,16
166,7.375,166,8,17,16,15,15,16
167,7.384,167,8,17,16,15,15,17
168,7.392,168,8,17,16,15,15,17
169,7.401,169,8,17,17,15,15,17
170,7.409,170,8,17,17,15,15,17
171,7.418,171,8,17,17,15,15,17
172,7.426,172,8,17,17,15,16,17
173,7.435,173,8,17,17,15,16,17
174,7.443,174,8,17,17,15,16,17
175,7.451,175,8,17,17,16,16,17
176,7.459,176,8,17,17,16,16,17
177,7.468,177,8,17,17,16,16,17
178,7.476,178,8,17,17,16,16,17
179,7.484,179,8,17,17,16,16,17
180,7.492,180,8,17,17,16,16,17
181,7.500,181,8,17,17,16,16,17
182,7.508,182,8,17,17,16,16,17
183,7.516,183,8,17,17,16,16,17
184,7.524,184,8,17,17,16,16,17
185,7.531,185,8,17,17,16,16,17
186,7.539,186,8,17,17,16,16,17
187,7.547,187,8,17,17,16,16,17
188,7.555,188,8,17,17,16,16,17
189,7.562,189,8,17,17,16,16,17
190,7.570,190,8,17,17,16,16,17
191,7.577,191,8,17,17,16,16,17
192,7.585,192,8,17,17,16,16,17
193,7.592,193,8,17,17,16,16,17
194,7.600,194,8,17,17,16,16,17
195,7.607,195,8,17,17,16,16,17
196,7.615,196,8,17,17,16,17,17
197,7.622,197,8,17,17,16,17,17
198,7.629,198,8,17,17,16,17,17
199,7.637,199,8,17,17,16,17,17
200,7.644,200,8,17,17,16,17,17
201,7.651,201,8,17,17,16,17,17
202,7.658,202,8,17,17,16,17,17
203,7.665,203,8,17,17,16,17,17
204,7.672,204,8,17,17,16,17,17
205,7.679,205,8,17,17,16,17,17
206,7.687,206,8,17,17,16,17,17
207,7.693,207,8,17,17,16,17,17
208,7.700,208,8,17,17,16,17,17
209,7.707,209,8,17,17,16,17,17
210,7.714,210,8,17,17,16,17,17
211,7.721,211,8,17,17,16,17,17
212,7.728,212,8,17,17,16,17,17
213,7.735,213,8,17,17,16,17,17
214,7.741,214,8,17,17,16,17,17
215,7.748,215,8,17,17,16,17,17
216,7.755,216,8,17,17,16,17,17
217,7.762,217,8,17,17,16,17,17
218,7.768,218,8,17,17,16,17,17
219,7.775,219,8,17,17,16,17,17
220,7.781,220,8,17,17,16,17,17
221,7.788,221,8,17,17,16,17,17
222,7.794,222,8,17,17,16,18,17
223,7.801,223,8,17,17,16,18,17
224,7.807,224,8,17,17,16,18,17
225,7.814,225,8,17,17,16,18,17
226,7.820,226,8,17,17,16,18,17
227,7.827,227,8,17,17,16,18,17
228,7.833,228,8,17,17,16,18,17
229,7.839,229,8,17,17,16,18,17
230,7.845,230,8,17,17,16,18,17
231,7.852,231,8,17,17,16,18,17
232,7.858,232,8,17,17,16,18,17
233,7.864,233,8,17,17,16,18,17
234,7.870,234,8,17,17,16,18,17
235,7.877,235,8,17,17,16,18,17
236,7.883,236,8,17,17,16,18,17
237,7.889,237,8,17,17,16,18,17
238,7.895,238,8,17,17,16,18,17
239,7.901,239,8,17,17,16,18,17
240,7.907,240,8,17,17,16,18,17
241,7.913,241,8,17,17,16,18,17
242,7.919,242,8,17,17,16,18,17
243,7.925,243,8,17,17,16,18,17
244,7.931,244,8,17,17,16,18,17
245,7.937,245,8,18,17,16,18,17
246,7.943,246,8,18,17,16,18,17
247,7.948,247,8,18,17,16,18,17
248,7.954,248,8,18,17,16,18,17
249,7.960,249,8,18,17,16,18,17
250,7.966,250,8,18,17,16,18,17
251,7.972,251,8,18,17,17,18,17
252,7.977,252,8,18,17,17,18,17
253,7.983,253,8,18,17,17,18,17
254,7.989,254,8,18,17,17,18,17
255,7.994,255,8,18,17,17,18,17
256,8.000,256,9,18,17,17,18,17
257,8.006,257,9,18,17,17,18,17
258,8.011,258,9,18,17,17,18,17
259,8.017,259,9,18,17,17,18,17
260,8.022,260,9,18,17,17,18,17
261,8.028,261,9,18,17,17,18,17
262,8.033,262,9,18,17,17,19,17
263,8.039,263,9,18,17,17,19,17
264,8.044,264,9,18,17,17,19,17
265,8.050,265,9,18,17,17,19,17
266,8.055,266,9,18,17,17,19,17
267,8.061,267,9,18,17,17,19,17
268,8.066,268,9,18,17,17,19,17
269,8.071,269,9,18,17,17,19,17
270,8.077,270,9,18,17,17,19,17
271,8.082,271,9,18,17,17,19,17
272,8.087,272,9,18,17,17,19,17
273,8.093,273,9,18,17,17,19,17
274,8.098,274,9,18,17,17,19,17
275,8.103,275,9,18,17,17,19,17
276,8.109,276,9,18,17,17,19,17
277,8.114,277,9,18,17,17,19,17
278,8.119,278,9,18,17,18,19,17
279,8.124,279,9,18,17,18,20,17
280,8.129,280,9,18,17,18,20,17
281,8.134,281,9,18,17,18,20,17
282,8.140,282,9,18,17,18,20,17
283,8.145,283,9,18,17,18,20,17
284,8.150,284,9,18,18,18,20,17
285,8.155,285,9,18,18,18,20,18
286,8.160,286,9,18,18,18,20,18
287,8.165,287,9,18,18,18,20,18
288,8.170,288,9,18,18,18,20,18
289,8.175,289,9,18,18,18,20,18
290,8.180,290,9,18,18,18,20,18
291,8.185,291,9,18,18,18,20,18
292,8.190,292,9,18,18,18,20,18
293,8.195,293,9,18,18,18,20,18
294,8.200,294,9,18,18,18,20,18
295,8.205,295,9,18,18,18,20,18
296,8.209,296,9,18,18,18,20,18
297,8.214,297,9,18,18,18,20,18
298,8.219,298,9,18,18,18,20,18
299,8.224,299,9,18,18,18,20,18
300,8.229,300,9,18,18,18,20,18
301,8.234,301,9,18,18,18,20,18
302,8.238,302,9,18,18,18,20,18
303,8.243,303,9,18,18,18,20,18
304,8.248,304,9,18,18,18,20,18
305,8.253,305,9,18,18,18,20,18
306,8.257,306,9,18,18,18,20,18
307,8.262,307,9,18,18,18,20,18
308,8.267,308,9,18,18,18,20,18
309,8.271,309,9,18,18,18,20,18
310,8.276,310,9,18,18,18,20,18
311,8.281,311,9,18,18,18,20,18
312,8.285,312,9,18,18,18,20,18
313,8.290,313,9,18,18,18,20,18
314,8.295,314,9,18,18,18,20,18
315,8.299,315,9,18,18,18,20,18
316,8.304,316,9,18,18,18,20,18
317,8.308,317,9,18,18,18,20,18
318,8.313,318,9,18,18,18,20,18
319,8.317,319,9,18,18,18,20,18
320,8.322,320,9,18,18,18,20,18
321,8.326,321,9,18,18,18,20,18
322,8.331,322,9,18,18,18,20,18
323,8.335,323,9,18,18,18,20,18
324,8.340,324,9,18,18,18,20,18
325,8.344,325,9,18,18,18,20,18
326,8.349,326,9,18,18,18,20,18
327,8.353,327,9,18,18,18,20,18
328,8.358,328,9,18,18,18,20,18
329,8.362,329,9,19,18,18,20,18
330,8.366,330,9,19,18,18,20,18
331,8.371,331,9,19,18,18,20,18
332,8.375,332,9,19,18,18,20,18
333,8.379,333,9,19,18,18,20,18
334,8.384,334,9,19,18,18,20,18
335,8.388,335,9,19,18,18,20,18
336,8.392,336,9,19,18,18,20,18
337,8.397,337,9,19,18,18,20,18
338,8.401,338,9,19,18,18,20,18
339,8.405,339,9,19,18,18,20,18
340,8.409,340,9,19,18,18,20,18
341,8.414,341,9,19,18,18,20,18
342,8.418,342,9,19,18,18,20,18
343,8.422,343,9,19,18,18,20,18
344,8.426,344,9,19,18,18,20,18
345,8.430,345,9,19,18,18,20,18
346,8.435,346,9,20,18,18,20,18
347,8.439,347,9,20,18,18,20,18
348,8.443,348,9,20,18,18,20,18
349,8.447,349,9,20,18,18,20,18
350,8.451,350,9,20,18,18,20,18
351,8.455,351,9,20,18,18,20,18
352,8.459,352,9,20,18,18,20,18
353,8.464,353,9,20,18,18,20,18
354,8.468,354,9,20,18,18,20,18
355,8.472,355,9,20,18,18,20,18
356,8.476,356,9,20,18,18,20,18
357,8.480,357,9,20,18,18,20,18
358,8.484,358,9,20,18,18,20,18
359,8.488,359,9,20,18,18,20,18
360,8.492,360,9,20,18,18,20,18
361,8.496,361,9,20,18,18,20,18
362,8.500,362,9,20,19,18,20,18
363,8.504,363,9,20,19,18,20,18
364,8.508,364,9,20,19,18,20,18
365,8.512,365,9,20,19,18,20,18
366,8.516,366,9,20,19,18,20,18
367,8.520,367,9,20,19,18,20,18
368,8.524,368,9,20,19,18,20,18
369,8.527,369,9,20,19,18,20,18
370,8.531,370,9,20,19,18,20,18
371,8.535,371,9,20,19,18,20,18
372,8.539,372,9,20,19,18,20,19
373,8.543,373,9,20,19,18,20,19
374,8.547,374,9,20,19,18,20,19
375,8.551,375,9,20,19,18,20,19
376,8.555,376,9,20,19,18,20,19
377,8.558,377,9,20,19,18,20,19
378,8.562,378,9,20,19,18,20,19
379,8.566,379,9,20,19,18,20,19
380,8.570,380,9,20,19,18,20,19
381,8.574,381,9,20,19,18,20,19
382,8.577,382,9,20,19,18,20,19
383,8.581,383,9,20,19,18,20,19
384,8.585,384,9,20,19,18,20,19
385,8.589,385,9,20,19,18,20,19
386,8.592,386,9,20,19,18,20,19
387,8.596,387,9,20,20,18,20,19
388,8.600,388,9,20,20,18,20,19
389,8.604,389,9,20,20,18,20,19
390,8.607,390,9,20,20,18,20,19
391,8.611,391,9,20,20,18,20,19
392,8.615,392,9,20,20,18,20,19
393,8.618,393,9,20,20,18,20,19
394,8.622,394,9,20,20,18,20,19
395,8.626,395,9,20,20,18,20,19
396,8.629,396,9,20,20,18,20,19
397,8.633,397,9,20,20,18,20,19
398,8.637,398,9,20,20,18,20,19
399,8.640,399,9,20,20,18,20,19
400,8.644,400,9,20,20,18,20,19
401,8.647,401,9,20,20,18,20,19
402,8.651,402,9,20,20,18,20,19
403,8.655,403,9,20,20,18,20,19
